Feature_4,Accuracy
mfcc_4_std,0.48989898989898994
rmse_var,0.4696969696969697
mfcc_2_mean,0.46464646464646464
spectral_rolloff_var,0.45959595959595956
mfcc_12_mean,0.4545454545454546
mfcc_10_std,0.4444444444444444
mfcc_7_std,0.4444444444444444
chroma_stft_5_mean,0.43434343434343436
mfcc_8_std,0.43434343434343436
mfcc_6_std,0.4292929292929293
chroma_stft_12_mean,0.4292929292929293
spectral_contrast_mean,0.4292929292929293
mfcc_9_mean,0.4242424242424242
mfcc_8_mean,0.4242424242424242
mfcc_5_std,0.4242424242424242
spectral_bandwidth_var,0.4191919191919192
mfcc_11_mean,0.4191919191919192
chroma_stft_10_mean,0.41414141414141414
mfcc_7_mean,0.41414141414141414
spectral_centroid_var,0.41414141414141414
mfcc_11_std,0.41414141414141414
mfcc_5_mean,0.41414141414141414
mfcc_2_std,0.41414141414141414
chroma_stft_2_std,0.40909090909090906
chroma_stft_4_std,0.40909090909090906
chroma_stft_5_std,0.40909090909090906
rmse_mean,0.40909090909090906
mfcc_6_mean,0.4040404040404041
chroma_stft_8_mean,0.4040404040404041
chroma_stft_6_mean,0.4040404040404041
spectral_bandwidth_mean,0.4040404040404041
mfcc_3_std,0.398989898989899
spectral_flatness_var,0.398989898989899
chroma_stft_11_mean,0.398989898989899
spectral_contrast_var,0.398989898989899
zero_cross_rate_mean,0.398989898989899
zero_cross_rate_std,0.3939393939393939
mfcc_1_std,0.3939393939393939
mfcc_4_mean,0.3939393939393939
chroma_stft_2_mean,0.3939393939393939
chroma_stft_9_mean,0.38888888888888884
chroma_stft_9_std,0.38383838383838387
mfcc_9_std,0.38383838383838387
chroma_stft_6_std,0.3787878787878788
chroma_stft_3_std,0.3787878787878788
chroma_stft_1_std,0.3787878787878788
chroma_stft_7_std,0.3737373737373737
mfcc_1_mean,0.3737373737373737
chroma_stft_12_std,0.3737373737373737
chroma_stft_7_mean,0.3737373737373737
mfcc_12_std,0.3737373737373737
mfcc_10_mean,0.36868686868686873
chroma_stft_10_std,0.36868686868686873
chroma_stft_11_std,0.36363636363636365
chroma_stft_1_mean,0.36363636363636365
spectral_flatness_mean,0.36363636363636365
mfcc_3_mean,0.35858585858585856
chroma_stft_8_std,0.33838383838383834
chroma_stft_3_mean,0.33838383838383834
chroma_stft_4_mean,0.33333333333333337
